episode,seed,agent_type,scenario,disrupted,success,episodic_return,steps,path_length,optimal_path_length,route_efficiency,regret,exploration_rate
1,33,dqn,central_route_closure,False,False,-192.0,40,,6,0.0,34.0,0.4
2,33,dqn,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.398
3,33,dqn,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.39601000000000003
4,33,dqn,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.39402995
5,33,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.39205980025000003
6,33,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.39009950124875004
7,33,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.38814900374250627
8,33,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3862082587237937
9,33,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.38427721743017473
10,33,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.38235583134302387
11,33,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3804440521863087
12,33,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.37854183192537716
13,33,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.37664912276575024
14,33,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3747658771519215
15,33,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3728920477661619
16,33,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3710275875273311
17,33,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3691724495896945
18,33,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.367326587341746
19,33,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3654899544050373
20,33,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3636625046330121
21,33,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.36184419210984703
22,33,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3600349711492978
23,33,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.35823479629355126
24,33,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3564436223120835
25,33,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.35466140420052306
26,33,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.35288809717952047
27,33,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3511236566936229
28,33,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3493680384101548
29,33,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.347621198218104
30,33,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.34588309222701347
31,33,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3441536767658784
32,33,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.342432908382049
33,33,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.34072074384013873
34,33,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.33901714012093803
35,33,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.33732205442033336
36,33,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3356354441482317
37,33,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.33395726692749056
38,33,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3322874805928531
39,33,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.33062604318988886
40,33,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.32897291297393944
41,33,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.32732804840906976
