episode,seed,agent_type,scenario,disrupted,success,episodic_return,steps,path_length,optimal_path_length,route_efficiency,regret,exploration_rate
1,44,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.35
2,44,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.34825
3,44,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.34650875
4,44,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.34477620625
5,44,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.34305232521875
6,44,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.34133706359265625
7,44,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.33963037827469295
8,44,q_learning,central_route_closure,False,False,-160.0,40,,6,0.0,34.0,0.3379322263833195
9,44,q_learning,central_route_closure,False,False,-200.0,40,,6,0.0,34.0,0.3362425652514029
10,44,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3345613524251459
11,44,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3328885456630202
12,44,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.33122410293470506
13,44,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.32956798242003155
14,44,q_learning,central_route_closure,False,True,13.0,8,8,6,0.75,2.0,0.3279201425079314
15,44,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.32628054179539173
16,44,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3246491390864148
17,44,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3230258933909827
18,44,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3214107639240278
19,44,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.31980371010440767
20,44,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.31820469155388564
21,44,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.31661366809611624
22,44,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.31503059975563563
23,44,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.31345544675685744
24,44,q_learning,central_route_closure,False,True,13.0,8,8,6,0.75,2.0,0.31188816952307313
25,44,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.31032872867545774
26,44,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.30877708503208046
27,44,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.30723319960692
28,44,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.30569703360888545
29,44,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.304168548440841
30,44,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.3026477056986368
31,44,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.30113446717014364
32,44,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.29962879483429294
33,44,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.29813065086012147
34,44,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.2966399976058209
35,44,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.2951567976177918
36,44,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.29368101362970284
37,44,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.29221260856155434
38,44,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.29075154551874655
39,44,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.28929778779115284
40,44,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.28785129885219707
41,44,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.2864120423579361
42,44,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.28497998214614645
43,44,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.2835550822354157
44,44,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.2821373068242386
45,44,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.2807266202901174
46,44,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.2793229871886668
47,44,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.2779263722527235
48,44,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.27653674039145987
49,44,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.27515405668950255
50,44,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.273778286406055
51,44,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.2724093949740247
52,44,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.2710473479991546
53,44,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.2696921112591588
54,44,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.26834365070286303
55,44,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.2670019324493487
56,44,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.26566692278710197
57,44,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.26433858817316647
58,44,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.26301689523230065
59,44,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.26170181075613913
60,44,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.2603933017023584
61,44,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.25909133519384664
62,44,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.2577958785178774
63,44,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.256506899125288
64,44,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.2552243646296616
65,44,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.2539482428065133
66,44,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.25267850159248073
67,44,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.2514151090845183
68,44,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.2501580335390957
69,44,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.24890724337140024
