episode,seed,agent_type,scenario,disrupted,success,episodic_return,steps,path_length,optimal_path_length,route_efficiency,regret,exploration_rate
1,44,dqn,central_route_closure,False,False,-200.0,40,,6,0.0,34.0,0.4
2,44,dqn,central_route_closure,False,False,-180.0,40,,6,0.0,34.0,0.398
3,44,dqn,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.39601000000000003
4,44,dqn,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.39402995
5,44,dqn,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.39205980025000003
6,44,dqn,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.39009950124875004
7,44,dqn,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.38814900374250627
8,44,dqn,central_route_closure,False,False,-168.0,40,,6,0.0,34.0,0.3862082587237937
9,44,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.38427721743017473
10,44,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.38235583134302387
11,44,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3804440521863087
12,44,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.37854183192537716
13,44,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.37664912276575024
14,44,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3747658771519215
15,44,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3728920477661619
16,44,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3710275875273311
17,44,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3691724495896945
18,44,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.367326587341746
19,44,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3654899544050373
20,44,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3636625046330121
21,44,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.36184419210984703
22,44,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3600349711492978
23,44,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.35823479629355126
24,44,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3564436223120835
25,44,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.35466140420052306
26,44,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.35288809717952047
27,44,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3511236566936229
28,44,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3493680384101548
29,44,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.347621198218104
30,44,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.34588309222701347
31,44,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3441536767658784
32,44,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.342432908382049
33,44,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.34072074384013873
34,44,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.33901714012093803
