episode,seed,agent_type,scenario,disrupted,success,episodic_return,steps,path_length,optimal_path_length,route_efficiency,regret,exploration_rate
1,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.4
2,11,dqn,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.398
3,11,dqn,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.39601000000000003
4,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.39402995
5,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.39205980025000003
6,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.39009950124875004
7,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.38814900374250627
8,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3862082587237937
9,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.38427721743017473
10,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.38235583134302387
11,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3804440521863087
12,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.37854183192537716
13,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.37664912276575024
14,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3747658771519215
15,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3728920477661619
16,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3710275875273311
17,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3691724495896945
18,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.367326587341746
19,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3654899544050373
20,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3636625046330121
21,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.36184419210984703
22,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3600349711492978
23,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.35823479629355126
24,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3564436223120835
25,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.35466140420052306
26,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.35288809717952047
27,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3511236566936229
28,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3493680384101548
29,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.347621198218104
30,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.34588309222701347
31,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3441536767658784
32,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.342432908382049
33,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.34072074384013873
34,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.33901714012093803
35,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.33732205442033336
36,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3356354441482317
37,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.33395726692749056
38,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3322874805928531
39,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.33062604318988886
40,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.32897291297393944
41,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.32732804840906976
42,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3256914081670244
43,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.32406295112618927
44,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3224426363705583
45,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3208304231887055
46,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.319226271072762
47,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.31763013971739823
48,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.31604198901881125
49,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3144617790737172
50,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3128894701783486
51,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3113250228274569
52,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3097683977133196
53,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.308219555724753
54,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.30667845794612925
55,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3051450656563986
56,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3036193403281166
57,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.302101243626476
58,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.30059073740834363
59,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.2990877837213019
60,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.2975923448026954
61,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.2961043830786819
62,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.29462386116328854
63,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.2931507418574721
64,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.2916849881481847
65,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.2902265632074438
66,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.2887754303914066
67,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.28733155323944953
68,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.2858948954732523
69,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.28446542099588606
70,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.28304309389090665
71,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.2816278784214521
72,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.2802197390293448
73,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.2788186403341981
74,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.2774245471325271
75,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.27603742439686446
76,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.2746572372748801
77,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.2732839510885057
78,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.2719175313330632
79,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.27055794367639785
80,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.26920515395801586
81,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.26785912818822577
82,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.2665198325472846
83,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.2651872333845482
84,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.26386129721762547
85,11,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.26254199073153733
