episode,seed,agent_type,scenario,disrupted,success,episodic_return,steps,path_length,optimal_path_length,route_efficiency,regret,exploration_rate
1,55,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.35
2,55,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.34825
3,55,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.34650875
4,55,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.34477620625
5,55,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.34305232521875
6,55,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.34133706359265625
7,55,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.33963037827469295
8,55,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3379322263833195
9,55,q_learning,central_route_closure,False,True,9.0,12,12,6,0.5,6.0,0.3362425652514029
10,55,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3345613524251459
11,55,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3328885456630202
12,55,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.33122410293470506
13,55,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.32956798242003155
14,55,q_learning,central_route_closure,False,True,13.0,8,8,6,0.75,2.0,0.3279201425079314
15,55,q_learning,central_route_closure,False,True,11.0,10,10,6,0.6,4.0,0.32628054179539173
16,55,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3246491390864148
17,55,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3230258933909827
18,55,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3214107639240278
19,55,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.31980371010440767
20,55,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.31820469155388564
21,55,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.31661366809611624
22,55,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.31503059975563563
23,55,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.31345544675685744
24,55,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.31188816952307313
25,55,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.31032872867545774
26,55,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.30877708503208046
27,55,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.30723319960692
28,55,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.30569703360888545
29,55,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.304168548440841
30,55,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.3026477056986368
31,55,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.30113446717014364
32,55,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.29962879483429294
33,55,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.29813065086012147
34,55,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.2966399976058209
35,55,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.2951567976177918
36,55,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.29368101362970284
37,55,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.29221260856155434
38,55,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.29075154551874655
