episode,seed,agent_type,scenario,disrupted,success,episodic_return,steps,path_length,optimal_path_length,route_efficiency,regret,exploration_rate
1,11,q_learning,central_route_closure,False,False,-192.0,40,,6,0.0,34.0,0.35
2,11,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.34825
3,11,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.34650875
4,11,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.34477620625
5,11,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.34305232521875
6,11,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.34133706359265625
7,11,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.33963037827469295
8,11,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3379322263833195
9,11,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3362425652514029
10,11,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3345613524251459
11,11,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3328885456630202
12,11,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.33122410293470506
13,11,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.32956798242003155
14,11,q_learning,central_route_closure,False,False,-192.0,40,,6,0.0,34.0,0.3279201425079314
15,11,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.32628054179539173
16,11,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.3246491390864148
17,11,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3230258933909827
18,11,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.3214107639240278
19,11,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.31980371010440767
20,11,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.31820469155388564
21,11,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.31661366809611624
22,11,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.31503059975563563
23,11,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.31345544675685744
24,11,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.31188816952307313
25,11,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.31032872867545774
26,11,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.30877708503208046
27,11,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.30723319960692
28,11,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.30569703360888545
29,11,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.304168548440841
30,11,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.3026477056986368
31,11,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.30113446717014364
32,11,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.29962879483429294
